type_name,type_id,lon,lat,temperature_c,precipitation_mm,relative_humidity,wind_speed_ms,solar_radiation
Forest fire,3,95.0386,59.4932,19.78,1.05,85.96,0.07,4.91
Forest fire,3,95.0595,59.4584,19.78,1.05,85.96,0.07,4.91
Forest fire,3,95.1333,59.5111,19.78,1.05,85.96,0.07,4.91
Forest fire,3,94.9188,59.4188,19.78,1.05,85.96,0.07,4.91
Forest fire,3,94.9027,59.8627,20.77,0.89,80.02,0.25,4.91
Forest fire,3,94.9673,59.9455,20.77,0.89,80.02,0.25,4.91
Forest fire,3,94.6693,59.929,21.05,0.54,77.27,0.27,4.91
Forest fire,3,94.7493,60.0206,20.77,0.89,80.02,0.25,5.77
Forest fire,3,94.6858,60.0614,21.05,0.54,77.27,0.27,5.77
Forest fire,3,94.7637,60.1074,20.77,0.89,80.02,0.25,5.77
Forest fire,3,94.8253,60.0863,20.77,0.89,80.02,0.25,5.77
Forest fire,3,94.3206,60.0172,21.05,0.54,77.27,0.27,5.77
Forest fire,3,94.1433,59.9641,21.05,0.54,77.27,0.27,4.91
Forest fire,3,94.1078,59.9409,21.05,0.54,77.27,0.27,4.91
Forest fire,3,94.0265,59.9178,20.96,0.35,75.97,0.32,4.91
Forest fire,3,94.0267,59.8885,20.96,0.35,75.97,0.32,4.91
Forest fire,3,93.9258,59.8862,20.96,0.35,75.97,0.32,4.68
Forest fire,3,93.8075,59.9452,20.96,0.35,75.97,0.32,4.68
Forest fire,3,93.8368,59.9788,20.96,0.35,75.97,0.32,4.68
Forest fire,3,94.0354,60.0103,20.96,0.35,75.97,0.32,5.77
Forest fire,3,94.0899,60.0025,21.05,0.54,77.27,0.27,5.77
Forest fire,3,94.119,60.1595,21.05,0.54,77.27,0.27,5.77
Forest fire,3,94.1489,60.2031,21.05,0.54,77.27,0.27,5.77
Forest fire,3,94.0736,60.2199,21.05,0.54,77.27,0.27,5.77
Forest fire,3,94.0155,60.2256,20.96,0.35,75.97,0.32,5.77
Forest fire,3,94.0223,60.257,22.62,0.08,70.08,0.37,5.77
Forest fire,3,93.9427,60.256,22.62,0.08,70.08,0.37,4.57
Forest fire,3,93.8829,60.3144,22.62,0.08,70.08,0.37,4.57
Forest fire,3,93.8816,60.3509,22.62,0.08,70.08,0.37,4.57
Forest fire,3,93.8705,60.4022,22.62,0.08,70.08,0.37,4.57
Forest fire,3,93.7239,60.449,22.62,0.08,70.08,0.37,4.57
Forest fire,3,94.0513,60.3621,22.62,0.08,70.08,0.37,5.77
Forest fire,3,94.1887,60.3291,22.62,0.12,71.36,0.36,5.77
Forest fire,3,94.1902,60.2911,22.62,0.12,71.36,0.36,5.77
Forest fire,3,94.2551,60.2323,21.05,0.54,77.27,0.27,5.77
Forest fire,3,88.7662,60.9621,22.92,0.0,69.22,0.41,2.73
Forest fire,3,92.2793,59.9997,21.44,0.11,72.33,0.33,4.68
